,Open,High,Low,Close,Volume
2013-08-26,119,119,119,119,38667
2013-08-27,119,119,119,119,1283
2013-08-28,112,112,112,112,32964
2013-08-29,112,112,112,112,28708
2013-08-30,112,112,112,112,36569
2013-09-02,112,112,112,112,37828
2013-09-03,112,112,112,112,4360
2013-09-04,112,112,112,112,38938
2013-09-05,112,112,112,112,12376
2013-09-06,112,112,112,112,10018
2013-09-09,112,112,112,112,14320
2013-09-10,106,106,106,106,30438
2013-09-11,106,106,106,106,43378
2013-09-12,106,106,106,106,28441
2013-09-13,106,106,106,106,10132
2013-09-16,106,106,106,106,31241
2013-09-17,106,106,106,106,37218
2013-09-18,108,114.5,108,114.5,97463
2013-09-19,114.5,114.5,114.5,114.5,49452
2013-09-20,110.01,110.01,110,110,46986
2013-09-23,110,110,110,110,12151
2013-09-24,110,110,110,110,22315
2013-09-25,107,107,107,107,26590
2013-09-26,107,107,107,107,42280
2013-09-27,107,107,107,107,6823
2013-09-30,107,107,107,107,2685
2013-10-02,107,107,107,107,12355
2013-10-03,107,107,107,107,29430
2013-10-04,110.05,110.05,110.05,110.05,70282
2013-10-07,110.05,110.05,110.05,110.05,8000
2013-10-08,114.55,114.55,114.55,114.55,23540
2013-10-09,110.67,110.67,110.05,110.05,75253
2013-10-10,112,115,112,115,97487
2013-10-11,119.4,119.4,119.4,119.4,31349
2013-10-14,117.99,118,117,118,212424
2013-10-16,118,118,118,118,0
2013-10-17,118,119,118,119,508050
2013-10-18,119,120,118,118,224169
2013-10-21,118,118,118,118,7031
2013-10-22,118,118,118,118,27804
2013-10-23,120,120,120,120,44690
2013-10-24,120,120,120,120,20624
2013-10-28,116.05,116.05,116.05,116.05,7654
2013-10-29,116.05,116.05,116.05,116.05,18245
2013-10-30,116.05,116.05,116.05,116.05,14269
2013-10-31,115,115,115,115,46210
2013-11-01,115,115,115,115,5185
2013-11-04,115,115,115,115,14923
2013-11-05,115,115,115,115,11220
2013-11-06,115,115,115,115,22585
2013-11-07,115,115,115,115,9318
2013-11-08,115.5,115.5,115.5,115.5,41440
2013-11-11,115,115,115,115,17446
2013-11-12,115,115,115,115,13305
2013-11-13,115,115,115,115,42672
2013-11-14,113.01,115,113.01,115,57474
2013-11-15,115,115,115,115,15267
2013-11-18,115,118.9,115,118.9,66543
2013-11-19,116,116,116,116,62985
2013-11-20,116.5,116.5,115.55,115.55,77135
2013-11-21,114.4,114.4,114,114.03,82662
2013-11-22,111.01,116,111.01,116,183306
2013-11-25,116,116,116,116,20773
2013-11-26,114.5,114.5,114.5,114.5,60622
2013-11-27,114.5,114.5,114.5,114.5,41242
