,Open,High,Low,Close,Volume
2009-10-12,13.54,13.54,13.54,13.54,11340
2009-10-13,13.54,13.54,13.54,13.54,5250
2009-10-14,13.54,13.54,13.54,13.54,47262
2009-10-15,13.54,13.54,13.54,13.54,27228
2009-10-16,13.54,13.54,13.54,13.54,4759
2009-10-19,13.54,13.54,13.54,13.54,6125
2009-10-20,13.54,13.54,13.54,13.54,6681
2009-10-21,13.54,13.54,13.54,13.54,7575
2009-10-22,13.54,13.54,13.54,13.54,23810
2009-10-23,13.54,13.54,13.54,13.54,19608
2009-10-26,13.54,13.54,13.54,13.54,9720
2009-10-27,13.54,13.54,13.54,13.54,6918
2009-10-28,13.54,13.54,13.54,13.54,38090
2009-10-29,13.54,13.54,13.54,13.54,1800
2009-10-30,13.54,13.54,13.54,13.54,24000
2009-11-02,13.54,13.54,13.54,13.54,13514
2009-11-03,13.54,13.54,13.54,13.54,0
2009-11-04,13.54,13.54,13.54,13.54,21249
2009-11-05,13.54,13.54,13.54,13.54,32863
2009-11-06,13.54,13.54,13.54,13.54,1860
2009-11-09,13.54,13.54,13.54,13.54,358192
2009-11-10,13.54,13.54,13.54,13.54,1051907
2009-11-11,0,13.54,0,13.54,53426
2009-11-12,13.54,13.54,13.54,13.54,999464
2009-11-13,0,13.54,0,13.54,45928
2009-11-16,13.54,13.54,13.54,13.54,2445
2009-11-17,12.87,12.87,12.87,12.87,108113
2009-11-18,0,12.87,0,12.87,187252
2009-11-19,0,12.87,0,12.87,30083
2009-11-20,0,12.87,0,12.87,35000
2009-11-23,0,12.87,0,12.87,71940
2009-11-24,0,12.87,0,12.87,29522
2009-11-25,0,12.87,0,12.87,48137
2009-11-30,0,12.87,0,12.87,284555
2009-12-01,0,12.87,0,12.87,13495
2009-12-02,0,12.87,0,12.87,10443
2009-12-03,0,12.87,0,12.87,12802
2009-12-04,0,12.87,0,12.87,14500
2009-12-07,12.23,12.23,12.23,12.23,1101089
2009-12-08,0,12.23,0,12.23,96038
2009-12-09,11.62,11.62,11.62,11.62,1208253
2009-12-10,0,11.62,0,11.62,44054
2009-12-11,11.62,11.62,11.62,11.62,22459
2009-12-14,0,11.62,0,11.62,64870
2009-12-15,0,11.62,0,11.62,59975
2009-12-16,0,11.62,0,11.62,46606
2009-12-17,11.04,11.04,11.04,11.04,707683
2009-12-18,0,11.04,0,11.04,121125
2009-12-21,0,11.04,0,11.04,33132
2009-12-22,0,11.04,0,11.04,6545
2009-12-23,0,11.04,0,11.04,29984
2009-12-28,0,11.04,0,11.04,39066
2009-12-29,10.49,10.49,10.49,10.49,654608
2009-12-30,0,10.49,0,10.49,88763
2009-12-31,10.49,10.49,10.49,10.49,2521023
2010-01-04,0,10.49,0,10.49,150793
2010-01-05,9.97,9.97,9.97,9.97,182675
2010-01-06,10,10.46,10,10.46,992967
2010-01-07,10.98,10.98,9.95,10.15,11042137
2010-01-08,10.06,10.65,10.06,10.65,2138935
2010-01-11,11.18,11.18,11.18,11.18,289914
2010-01-12,11.73,11.73,11.73,11.73,602030
2010-01-13,12.31,12.31,12.31,12.31,204838
2010-01-14,11.81,11.81,11.81,11.81,1291055
2010-01-15,11.52,12.24,11.22,12.24,1167690
2010-01-18,12.31,12.84,12.31,12.8,801001
2010-01-19,13.2,13.44,13.2,13.44,698581
2010-01-20,14.11,14.11,14.11,14.11,402285
2010-01-21,14.81,14.81,14.81,14.81,1806329
2010-01-22,15,15.51,15,15.5,517815
2010-01-25,15.9,16.2,15.9,16,950701
2010-01-26,16.49,16.7,16.49,16.7,803604
2010-01-27,17.5,17.5,17.5,17.5,522205
2010-01-28,18,18,17.25,17.25,1209970
2010-01-29,16.4,16.5,16.39,16.39,701817
2010-02-01,15.58,16,15.58,15.58,1063266
2010-02-02,14.99,16.34,14.81,14.82,6242446
2010-02-03,15.24,15.24,15,15.2,1371645
2010-02-04,15.01,15.1,15,15.1,930699
2010-02-05,14.6,14.6,14.35,14.36,1891767
2010-02-08,0,14.36,0,14.36,357506
2010-02-09,13.65,13.99,13.65,13.99,871899
2010-02-10,13.51,14.1,13.51,14.1,1990556
2010-02-11,14.79,14.79,14.79,14.79,300246
2010-02-12,14.86,14.89,14.85,14.85,865481
2010-02-15,14.9,15,14.9,15,717921
2010-02-16,14.98,14.99,14.97,14.97,1517724
2010-02-17,15,15.3,15,15.3,899294
2010-02-18,15.3,15.65,15.3,15.65,1123820
2010-02-19,15.65,16,15.65,16,1614199
2010-02-22,16.38,16.49,16.2,16.4,3509857
2010-02-23,16.5,16.5,15.61,15.61,1756273
2010-02-24,15.9,15.9,15.1,15.61,1876204
2010-02-25,15.65,15.8,15.65,15.8,769324
2010-03-01,15.4,15.43,15.4,15.43,667514
2010-03-02,15.75,15.75,15.75,15.75,437134
2010-03-03,15.36,15.36,15.25,15.25,601248
2010-03-04,15.29,16.01,15.28,16,1572876
2010-03-05,15.8,16,15.6,15.6,2254962
2010-03-08,15.69,15.69,15.62,15.62,502370
2010-03-09,15.85,16.4,15.85,16,2853485
2010-03-10,16.01,16.78,16,16.78,3663215
2010-03-11,16.01,17.58,16.01,17.5,2225784
2010-03-12,17,18.2,16.7,18.2,2673914
2010-03-15,17.8,19,17.48,19,3320980
2010-03-16,19,19.34,18.9,19.3,4483309
2010-03-17,19.3,19.3,19,19.22,2318502
2010-03-18,19,19,18.26,18.26,2219560
2010-03-19,17.35,18.99,17.35,18.98,3403927
2010-03-22,19,19,18.98,18.98,1037059
2010-03-23,18.3,18.7,18.2,18.7,717985
2010-03-24,18.99,18.99,17.81,17.81,1438179
2010-03-25,17.9,17.92,17.9,17.92,601066
2010-03-26,18.03,18.79,17.92,17.92,276227
2010-03-29,18.81,18.81,18.2,18.81,1249339
2010-03-30,19.02,19.75,18.95,19.75,2587362
2010-03-31,19.03,19.03,18.77,18.77,1199525
2010-04-01,19.3,19.3,18,18.2,669415
2010-04-06,19,19,18.55,18.55,687563
2010-04-07,19,19.18,18.98,19.18,2947994
2010-04-08,19.4,19.5,19,19,2404961
2010-04-09,19.39,19.39,18.82,18.82,1249105
2010-04-12,19.3,19.4,18.8,19.4,3894579
2010-04-13,20.2,20.2,19.45,19.45,5190144
2010-04-14,18.8,18.8,18.8,18.8,412483
2010-04-15,19.49,19.7,19.49,19.7,2145303
2010-04-16,20,20.65,20,20.65,1728333
2010-04-19,21.02,21.68,21.02,21.68,701655
2010-04-20,22.76,22.76,22.5,22.76,5960951
2010-04-21,23.89,23.89,23.84,23.89,1951390
2010-04-22,24.52,25.08,24.51,25.08,1041796
2010-04-23,26,26.33,23.83,23.83,5649928
2010-04-26,22.64,22.64,22.64,22.64,2782066
2010-04-27,21.51,22.64,21.51,22.64,190618
2010-04-28,21.51,21.51,21.51,21.51,2293643
2010-04-29,20.44,22.49,20.44,22.49,3482695
2010-04-30,23.1,23.61,23.1,23.61,1540199
2010-05-04,24.79,24.79,23.61,24.79,1926696
2010-05-05,24.6,26.02,24.1,26.02,18621999
2010-05-07,26.5,27.32,26,27.32,3223459
2010-05-10,27.38,28.68,27.38,28.68,2236962
2010-05-11,30.11,30.11,28.75,30.11,16036702
2010-05-12,30.12,31.61,30.12,31.61,4820851
2010-05-13,32.38,33.19,32.38,33.19,3356885
2010-05-14,34.84,34.84,34.84,34.84,1960559
