,Open,High,Low,Close,Volume
2009-07-01,9.15,9.15,9.15,9.15,534981
2009-07-02,8.92,8.92,8.92,8.92,1176377
2009-07-03,8.79,8.79,8.79,8.79,585220
2009-07-06,8.36,8.9,8.36,8.9,165893
2009-07-07,8.63,8.63,8.63,8.63,707132
2009-07-08,8.2,8.2,8.2,8.2,830605
2009-07-09,8.15,8.15,8.15,8.15,544902
2009-07-10,8.15,8.15,8.15,8.15,487494
2009-07-13,8.34,8.34,8.34,8.34,690229
2009-07-14,8,8,8,8,564682
2009-07-15,7.6,7.6,7.6,7.6,449261
2009-07-16,7.3,7.3,7.3,7.3,1817515
2009-07-17,6.94,6.94,6.94,6.94,494413
2009-07-20,6.6,6.6,6.6,6.6,171525
2009-07-21,6.27,6.27,6.27,6.27,2443346
2009-07-22,5.96,5.96,5.96,5.96,687658
2009-07-23,6.24,6.24,6.24,6.24,788870
2009-07-24,6.55,6.55,6.55,6.55,1884953
2009-07-27,6.87,6.87,6.87,6.87,2804757
2009-07-28,7.21,7.21,7.21,7.21,368805
2009-07-29,7.57,7.57,7.57,7.57,878855
2009-07-30,7.57,7.94,7.94,7.94,619548
2009-07-31,8.2,8.2,8.2,8.2,1374546
2009-08-03,8.61,8.61,8.61,8.61,1632471
2009-08-04,9,9,9,9,2529630
2009-08-05,8.55,8.55,8.55,8.55,1157493
2009-08-06,8.13,8.13,8.13,8.13,1632158
2009-08-07,8.13,8.13,8.13,8.13,371381
2009-08-10,8.01,8.01,8.01,8.01,495620
2009-08-11,7.61,7.61,7.61,7.61,1137596
2009-08-12,7.3,7.3,7.3,7.3,975271
2009-08-13,7.1,7.1,7.1,7.1,703246
2009-08-14,7.3,7.3,7.3,7.3,1592446
2009-08-17,6.95,6.95,6.95,6.95,640044
2009-08-18,7,7,7,7,869706
2009-08-19,6.65,6.65,6.65,6.65,705061
2009-08-20,6.32,6.32,6.32,6.32,236805
2009-08-21,6.01,6.01,6.01,6.01,1137596
2009-08-24,6,6,6,6,2769918
2009-08-25,6.3,6.3,6.3,6.3,532780
2009-08-26,6.6,6.6,6.6,6.6,29144080
2009-08-27,6.27,6.27,6.27,6.27,3454724
2009-08-28,6.02,6.02,6.02,6.02,1228733
2009-08-31,5.72,5.72,5.72,5.72,815105
2009-09-01,5.46,5.46,5.46,5.46,718847
2009-09-02,5.41,5.41,5.41,5.41,578248
2009-09-03,5.68,5.68,5.68,5.68,265181
2009-09-04,5.96,5.96,5.96,5.96,269165
2009-09-07,6.24,6.24,6.24,6.24,663185
2009-09-08,6.24,6.24,6.24,6.24,1231496
2009-09-09,6.3,6.3,6.3,6.3,19695928
2009-09-10,5.99,5.99,5.99,5.99,8196681
2009-09-11,5.7,5.7,5.7,5.7,373013
2009-09-14,5.42,5.42,5.42,5.42,1300493
2009-09-15,5.15,5.15,5.15,5.15,543819
2009-09-16,4.9,4.9,4.9,4.9,1694538
2009-09-17,4.66,4.66,4.66,4.66,5195444
2009-09-18,4.85,4.85,4.85,4.85,14359737
2009-09-23,4.9,4.9,4.9,4.9,5309058
2009-09-24,5.11,5.11,5.11,5.11,2443266
2009-09-25,5,5,5,5,2014836
2009-09-28,5,5,5,5,1340405
2009-09-29,5,5,5,5,3412081
2009-09-30,5.15,5.15,5.15,5.15,843702
2009-10-02,5.24,5.24,5.24,5.24,5176474
2009-10-05,5.38,5.38,5.38,5.38,13392053
2009-10-06,5.4,5.4,5.4,5.4,6562076
2009-10-07,5.13,5.31,5.13,5.18,2930016
2009-10-08,5,5.4,5,5.4,435658
2009-10-09,5.31,5.4,5.31,5.31,1936635
2009-10-12,5.4,5.4,5.3,5.3,613673
2009-10-13,5.1,5.2,5.04,5.2,1249693
2009-10-14,5.25,5.25,5,5,1787148
2009-10-15,5,5,4.76,4.76,2728144
2009-10-16,4.7,4.8,4.7,4.8,3299513
2009-10-19,4.8,5.04,4.8,5.04,1239872
2009-10-20,5,5,4.8,4.85,1475938
2009-10-21,4.9,5,4.9,5,3264195
2009-10-22,4.97,5.05,4.96,5.05,2118839
2009-10-23,5.03,5.03,4.99,5,1224360
2009-10-26,5,5,5,5,748640
2009-10-27,4.99,4.99,4.81,4.81,1242897
2009-10-28,4.9,4.95,4.9,4.9,1776032
2009-10-29,5,5,5,5,943651
2009-10-30,4.95,4.95,4.9,4.9,645427
2009-11-02,4.7,4.7,4.66,4.7,1638333
2009-11-03,4.93,4.93,4.93,4.93,0
2009-11-04,4.91,4.91,4.69,4.69,5390752
2009-11-05,4.7,4.7,4.46,4.58,6240484
2009-11-06,4.38,4.38,4.38,4.38,3365316
2009-11-09,4.5,4.55,4.5,4.55,637322
